CustomerID,City,Zip Code,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,Customer Segment
2564,562,90003,33.964131,-118.272783,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,1,1,86,3239,3,At Risk
6511,562,90005,34.059281,-118.30742,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,1,67,2701,13,Dormant
6551,562,90006,34.048013,-118.293953,0,0,0,1,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,1,1,86,5372,13,At Risk
5604,562,90010,34.062125,-118.315709,0,0,1,1,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,1,1,84,5003,13,At Risk
174,562,90015,34.039224,-118.266293,1,0,0,1,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,1,1,89,5340,2,At Risk
2937,562,90020,34.066367,-118.309868,0,0,1,0,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,1,1,78,5925,4,At Risk
6207,562,90022,34.02381,-118.156582,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,1,1,100,5433,5,At Risk
723,562,90024,34.066303,-118.435479,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,1,1,92,4832,3,At Risk
4584,562,90028,34.099869,-118.326843,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15,1,1,77,5789,2,At Risk
6119,562,90029,34.089953,-118.294824,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,1,1,97,2915,2,At Risk
6199,562,90032,34.078821,-118.177576,0,0,0,0,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1,1,1,74,3022,4,Dormant
4292,562,90039,34.110845,-118.259595,1,0,0,1,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,1,1,66,2454,4,Dormant
3828,562,90041,34.137412,-118.207607,1,0,0,1,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3549.25,1,1,65,2941,4,Dormant
5803,562,90042,34.11572,-118.192754,0,0,0,1,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4,1,1,70,5674,5,Dormant
5510,562,90056,33.987945,-118.370442,0,0,0,1,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,144.15,1,1,90,5586,5,At Risk
6630,562,90061,33.92128,-118.274186,0,0,0,1,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,1426.4,1,1,82,2966,5,At Risk
5305,562,90063,34.044271,-118.185237,0,1,1,1,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,633.3,1,1,69,5302,3,Dormant
1129,562,90065,34.108833,-118.229715,1,1,0,1,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1752.55,1,1,81,3179,3,At Risk
4043,77,90211,34.063947,-118.383001,0,0,0,1,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25,1,1,96,5571,17,At Risk
4191,442,90255,33.97803,-118.217141,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,79.35,1,1,87,2483,18,At Risk
6488,575,90262,33.923573,-118.200669,0,0,1,1,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,496.9,1,1,70,3457,19,Dormant
6099,592,90292,33.977468,-118.445475,0,0,0,1,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35,1,1,86,5806,10,At Risk
173,453,90301,33.956445,-118.358634,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,113.85,1,1,66,2604,14,Dormant
3208,453,90303,33.936291,-118.332639,0,1,1,1,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5,1,1,88,5337,11,At Risk
2233,906,90403,34.031529,-118.491156,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110,7611.85,1,1,86,5034,9,At Risk
327,1019,90504,33.867257,-118.330794,1,0,1,1,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5238.9,1,1,75,5154,12,Dormant
3419,1094,90602,33.972119,-118.020188,0,1,1,1,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2868.15,1,1,67,2793,8,Dormant
3763,1094,90606,33.976678,-118.065875,0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,1064.65,1,1,87,5998,17,At Risk
274,493,90631,33.940619,-117.9513,1,0,0,1,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,229.55,1,1,76,4415,18,At Risk
3079,766,90660,33.989524,-118.089299,0,1,0,1,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,2135.5,1,1,95,4638,19,At Risk
4403,49,90704,33.391181,-118.421305,0,0,1,0,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,1502.65,1,1,99,4190,10,At Risk
2158,408,90710,33.798266,-118.300237,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,35.45,1,1,80,2301,14,At Risk
1632,518,90712,33.840524,-118.148403,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,81.25,1,1,76,2570,7,At Risk
262,559,90720,33.79499,-118.065591,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45,1,1,76,3964,7,At Risk
2863,891,90731,33.736387,-118.284363,0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,563.65,1,1,66,2662,7,Dormant
1446,165,90745,33.822295,-118.26411,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,45.65,1,1,73,2600,15,Dormant
2724,556,90804,33.783047,-118.1486,1,0,0,1,7,1,2,1,0,0,0,0,2,2,0,0,3,95,655.5,1,1,94,2786,16,At Risk
589,18,91001,34.196837,-118.142236,0,0,1,1,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1592.35,1,1,86,5719,17,At Risk
2359,635,91016,34.1528,-118.000482,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,273,1,1,75,4287,18,Dormant
2406,936,91024,34.168686,-118.057505,1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2651.2,1,1,100,5444,19,At Risk
1269,1029,91042,34.296574,-118.244839,0,0,1,1,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,242.8,1,1,83,4690,10,At Risk
475,748,91103,34.167465,-118.165327,0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,5000.2,1,1,80,4328,14,At Risk
1818,748,91106,34.139402,-118.128658,0,1,0,1,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,1145.7,1,1,99,5717,11,At Risk
1398,748,91107,34.159007,-118.087353,0,1,0,1,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,503.6,1,1,81,4419,9,At Risk
4476,371,91202,34.167926,-118.267539,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,29.95,1,1,95,4534,12,At Risk
6592,371,91204,34.136306,-118.26036,1,0,0,1,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,662.65,1,1,86,2152,8,At Risk
1288,371,91206,34.162515,-118.203869,0,0,0,1,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,1111.65,1,1,73,5142,17,Dormant
692,371,91207,34.182378,-118.262922,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,24.8,1,1,94,4851,18,At Risk
1695,149,91304,34.224377,-118.632656,1,0,1,1,6,1,0,1,0,2,2,0,0,2,0,1,2,91,531,1,1,94,2283,19,At Risk
884,630,91345,34.266389,-118.459744,1,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,79.9,1,1,98,3394,10,At Risk
5558,901,91350,34.502432,-118.41459,0,0,0,1,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1934.45,1,1,71,3764,14,Dormant
5567,983,91352,34.231053,-118.338307,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46,84.5,1,1,76,2667,7,At Risk
6621,968,91381,34.364153,-118.615583,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,268.35,1,1,67,2227,7,Dormant
507,743,91402,34.223768,-118.445461,1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,179.35,1,1,82,3394,7,At Risk
1521,1053,91411,34.17847,-118.459472,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,55.2,1,1,81,3638,15,At Risk
6313,121,91504,34.213049,-118.317651,1,0,0,1,1,1,0,1,2,0,0,0,0,2,0,1,3,84.6,84.6,1,1,66,2484,16,Dormant
861,688,91601,34.1692,-118.372498,1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4,114.1,1,1,81,2556,17,At Risk
54,688,91605,34.207295,-118.400022,0,1,0,1,11,1,0,1,0,2,0,0,2,2,0,1,2,95,1120.3,1,1,85,5980,18,At Risk
7012,229,91722,34.097345,-117.906736,1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,1074.3,1,1,86,4616,19,At Risk
207,229,91723,34.084747,-117.886844,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,48.55,48.55,1,1,77,5687,10,At Risk
3232,292,91731,34.079934,-118.046695,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,147.15,1,1,75,5687,14,Dormant
6700,292,91732,34.074492,-118.01462,1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,40.2,1,1,65,5828,11,Dormant
3504,499,91744,34.031441,-117.936436,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.6,80.55,1,1,99,4884,9,At Risk
5171,499,91746,34.038983,-117.991372,1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,41.15,132.2,1,1,96,2314,12,At Risk
2523,853,91748,33.976753,-117.897367,1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,106.9,1364.3,1,1,84,2494,8,At Risk
4481,714,91762,34.057256,-117.667677,1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,1099.6,1,1,83,5084,17,At Risk
3063,714,91764,34.074087,-117.605618,0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,1511.2,1,1,81,3810,18,At Risk
4517,792,91766,34.042286,-117.756106,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.8,24.8,1,1,73,5087,19,Dormant
4207,792,91768,34.067932,-117.785168,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.6,70.6,1,1,69,3338,10,Dormant
4562,849,91770,34.065108,-118.082791,1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,85.4,401.1,1,1,80,3676,14,At Risk
3127,870,91773,34.102119,-117.815532,0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,105.05,5624.85,1,1,65,4839,7,Dormant
6698,1079,91791,34.061634,-117.893169,1,0,1,0,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15,1779.95,1,1,68,4643,7,Dormant
3967,12,91803,34.074736,-118.145959,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70,70,1,1,97,4094,7,At Risk
2436,16,91901,32.827184,-116.703729,1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,74.5,606.55,1,1,80,4345,15,At Risk
2504,100,91902,32.67117,-117.00232,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85,435.4,1,1,83,4061,16,At Risk
5334,106,91905,32.677097,-116.304991,1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,76.1,1712.7,1,1,98,2018,17,At Risk
4535,399,91931,32.857946,-116.561917,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,3,73.6,73.6,1,1,80,2565,18,At Risk
5757,461,91934,32.649787,-116.2237,0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,95.45,396.1,1,1,85,3677,19,At Risk
163,655,91948,32.830852,-116.444601,1,1,1,0,32,1,2,1,0,0,0,0,0,0,0,1,2,74.9,2303.35,1,1,69,4105,10,Dormant
5355,104,92004,33.200369,-116.192313,1,0,0,0,5,1,0,1,0,0,0,0,2,0,0,1,2,80.6,415.55,1,1,69,5715,14,Dormant
1593,158,92009,33.098018,-117.258203,0,0,1,0,38,1,0,0,2,2,0,2,2,2,1,0,1,80.3,3058.65,1,1,81,2071,11,At Risk
1961,251,92014,32.948262,-117.256086,1,1,1,0,24,1,0,1,0,0,2,0,2,2,0,1,2,93.15,2231.05,1,1,73,2212,9,Dormant
3542,287,92020,32.79697,-116.969082,0,1,0,0,54,1,2,0,2,2,0,2,2,2,1,0,0,82.45,4350.1,1,1,83,4149,12,At Risk
4107,308,92029,33.079834,-117.134275,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.35,139.05,1,1,73,2671,8,Dormant
75,706,92057,33.254497,-117.285879,0,0,0,0,7,1,2,1,0,0,0,0,0,0,0,1,2,73.85,511.25,1,1,67,2473,17,Dormant
1985,733,92059,33.384345,-117.072619,0,0,0,0,2,1,2,1,0,0,2,0,0,0,0,0,3,80.6,155.8,1,1,92,2683,18,At Risk
3020,741,92060,33.309852,-116.823091,1,0,1,0,68,1,2,0,0,2,2,2,0,2,1,1,0,75.8,5293.95,1,1,81,4903,19,At Risk
4738,752,92061,33.313828,-116.940501,0,0,0,0,43,1,2,1,0,2,2,0,2,2,2,1,2,104.6,4759.85,1,1,91,5250,10,At Risk
924,809,92066,33.215251,-116.53633,1,0,1,0,63,1,2,1,0,2,2,0,2,2,0,1,2,103.4,6603,1,1,98,4352,14,At Risk
1370,1048,92082,33.25283,-116.986079,0,0,0,0,2,1,0,1,0,0,0,0,2,2,0,1,2,90.4,168.2,1,1,76,4157,7,At Risk
126,869,92103,32.747484,-117.166877,1,0,1,0,4,1,2,1,0,2,2,0,0,0,0,1,0,84.8,371.9,1,1,73,4939,7,Dormant
428,869,92104,32.741499,-117.127409,0,1,0,0,21,0,1,0,2,0,0,0,2,0,0,1,2,41.9,840.1,1,1,97,4778,7,At Risk
3191,869,92105,32.741859,-117.090353,0,0,0,0,10,1,0,1,0,0,0,0,0,2,0,1,0,80.25,846,1,1,85,3598,15,At Risk
6392,869,92108,32.774046,-117.142454,1,1,1,0,27,0,1,0,2,0,0,0,0,0,0,0,1,30.75,805.1,1,1,91,2927,16,At Risk
683,869,92116,32.765299,-117.122565,1,0,0,0,5,1,0,1,0,0,2,0,2,2,0,0,0,96.5,492.55,1,1,98,5383,17,At Risk
159,869,92122,32.85723,-117.209774,1,0,0,0,2,1,2,1,0,0,0,0,2,0,0,1,2,85.65,181.5,1,1,73,3878,18,Dormant
6762,869,92129,32.961064,-117.134917,0,0,1,0,25,1,2,1,0,0,2,2,2,2,0,1,0,104.95,2566.5,1,1,66,3642,19,Dormant
4904,869,92154,32.578103,-117.012975,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,3,50.65,50.65,1,1,76,2431,7,At Risk
3655,452,92201,33.713891,-116.237257,1,0,0,0,1,1,2,1,0,2,0,0,0,2,0,1,1,90.85,90.85,1,1,81,3424,14,At Risk
3453,451,92210,33.537646,-116.291089,1,1,1,0,11,1,0,2,1,1,1,1,1,1,0,0,3,19.95,214.75,1,1,80,5888,11,At Risk
363,735,92211,33.762759,-116.324817,0,1,1,0,55,1,2,1,0,2,2,0,0,0,0,1,2,85.45,4874.7,1,1,100,5502,9,At Risk
4677,258,92240,33.948558,-116.516976,0,0,0,0,34,1,0,1,0,2,0,0,0,0,0,1,1,73.95,2524.45,1,1,94,5795,12,At Risk
670,430,92250,32.811001,-115.152865,1,0,1,0,69,1,2,1,0,0,2,0,2,2,0,1,1,99.45,7007.6,1,1,80,4020,8,At Risk
3366,681,92257,33.345825,-115.596574,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.9,19.9,1,1,92,3351,17,At Risk
5666,689,92258,33.906496,-116.569499,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.6,19.6,1,1,95,3448,18,At Risk
217,707,92259,32.698964,-115.886656,1,1,0,0,3,1,2,1,0,2,0,0,0,0,0,1,2,81.35,233.7,1,1,73,2818,19,Dormant
391,920,92273,32.790282,-115.689559,0,0,1,0,22,1,0,1,0,2,0,0,0,2,0,0,2,83.3,1845.9,1,1,88,3804,10,At Risk
3950,1009,92274,33.53604,-116.119222,0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,1,0,75.3,75.3,1,1,67,4902,14,Dormant
6399,2,92301,34.667815,-117.536183,0,0,1,0,61,1,0,2,1,1,1,1,1,1,0,1,3,19.4,1182.55,1,1,82,4221,7,At Risk
2052,32,92307,34.55082,-117.122396,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,1,0,45.4,518.9,1,1,68,2887,7,Dormant
5505,233,92325,34.248061,-117.29028,0,0,0,0,60,1,2,1,0,2,2,0,2,2,0,1,2,105.9,6396.45,1,1,84,4105,7,At Risk
2882,241,92327,34.875144,-116.821698,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,69.55,69.55,1,1,73,2792,2,Dormant
155,574,92338,34.702766,-116.093376,0,0,1,0,28,1,0,1,0,0,0,0,0,2,0,1,2,81.05,2227.1,1,1,98,5201,2,At Risk
602,573,92356,34.508417,-116.856103,1,0,1,0,4,1,2,1,0,0,2,0,2,2,0,0,2,101.15,385.9,1,1,84,4417,2,At Risk
2688,576,92358,34.238162,-117.534306,1,0,0,0,7,1,2,1,0,2,0,0,2,2,0,1,2,99.8,673.25,1,1,98,2031,2,At Risk
3243,763,92371,34.441123,-117.537886,0,0,1,0,13,1,0,0,0,0,0,0,0,2,0,0,2,55.95,734.35,1,1,91,4498,2,At Risk
2505,822,92373,34.003243,-117.138286,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,55,55,1,1,71,4877,2,Dormant
6615,830,92377,34.156758,-117.404686,0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,1,2,74.7,74.7,1,1,80,5980,2,At Risk
1618,854,92382,34.186211,-117.07683,1,0,0,0,24,1,2,1,0,2,0,0,0,0,0,1,2,80.25,1861.5,1,1,77,4418,2,At Risk
190,1000,92389,35.824572,-116.274755,1,0,0,0,5,1,0,1,0,0,0,2,2,2,0,1,2,96.1,453.4,1,1,66,4192,2,Dormant
4416,1057,92392,34.486835,-117.362274,0,0,0,0,15,1,0,1,0,0,0,0,0,0,0,0,0,69,994.8,1,1,73,5671,2,Dormant
304,1118,92397,34.358321,-117.618263,0,0,1,0,48,0,1,0,2,0,2,0,0,2,0,1,0,45.3,2145,1,1,65,4926,17,Dormant
4215,865,92401,34.105935,-117.2914,0,0,1,0,8,1,0,1,0,2,0,0,2,0,0,1,2,83.55,680.05,1,1,65,2879,18,Dormant
5936,865,92410,34.106922,-117.297553,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.35,74.35,1,1,93,2814,19,At Risk
261,844,92503,33.890046,-117.455583,0,0,1,0,2,1,0,1,2,0,0,0,0,0,0,1,2,74.4,139.4,1,1,77,4263,10,At Risk
5832,844,92506,33.930931,-117.361788,1,0,0,0,22,0,1,0,0,2,2,0,0,2,1,1,0,43.75,903.6,1,1,66,3099,14,Dormant
4424,844,92509,34.004379,-117.447864,0,1,0,0,5,0,1,0,0,2,0,0,0,0,0,0,2,28.45,131.05,1,1,89,4099,11,At Risk
5528,589,92518,33.888323,-117.277533,0,0,0,0,12,1,2,1,2,2,2,0,0,2,0,1,0,99.7,1238.45,1,1,76,2538,9,At Risk
3981,419,92544,33.644585,-116.871544,0,1,0,0,20,1,2,1,0,2,2,0,0,2,0,1,2,94.1,1782.4,1,1,87,2666,12,At Risk
5129,431,92548,33.761894,-117.120868,1,0,1,0,2,1,0,1,0,0,0,2,2,2,0,1,2,94.2,167.5,1,1,72,3715,7,Dormant
3241,446,92549,33.755039,-116.741796,0,0,1,0,6,1,2,1,0,0,0,2,0,0,0,1,2,80.5,502.85,1,1,98,5032,17,At Risk
4221,647,92557,33.970661,-117.255039,0,1,1,0,5,1,2,1,0,0,0,0,0,0,0,1,2,74.35,334.8,1,1,82,5273,18,At Risk
6624,662,92563,33.581045,-117.14719,1,0,0,0,40,1,2,1,0,0,2,2,2,2,0,0,0,104.8,4131.95,1,1,88,3492,19,At Risk
157,759,92571,33.828289,-117.201666,0,1,1,0,27,1,0,1,2,0,0,0,0,0,0,1,0,75.2,1929.35,1,1,99,4517,10,At Risk
4843,982,92586,33.707483,-117.200006,0,0,0,0,23,1,2,1,0,0,0,0,0,0,0,0,0,75.6,1758.6,1,1,81,2115,14,At Risk
5955,982,92587,33.69887,-117.25071,1,0,1,0,34,1,2,1,0,0,2,0,2,2,0,1,2,100.05,3480,1,1,72,2568,7,Dormant
6539,457,92612,33.643095,-117.810896,0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,85,85,1,1,80,5679,7,At Risk
923,511,92630,33.644849,-117.684254,1,0,0,0,10,1,2,1,0,0,0,0,2,0,0,1,0,86.05,834.1,1,1,85,2966,7,At Risk
1942,441,92646,33.666301,-117.969501,1,0,0,0,13,0,1,0,2,0,0,2,2,0,0,1,1,45.55,597,1,1,74,4856,15,Dormant
4963,441,92648,33.679659,-118.016195,1,0,1,0,39,1,0,1,0,2,0,0,2,0,0,1,3,86.3,3266,1,1,98,3364,16,At Risk
3765,676,92661,33.601309,-117.902304,1,0,0,0,32,1,2,1,0,2,0,0,0,0,0,1,0,80.35,2596.15,1,1,92,5974,2,At Risk
641,898,92701,33.748478,-117.858918,0,0,0,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.25,3527.6,1,1,72,2744,4,Dormant
3304,898,92707,33.714829,-117.872941,1,0,1,0,56,1,2,1,0,2,0,0,2,2,1,0,1,100.3,5614.45,1,1,67,5170,5,Dormant
837,23,92805,33.830209,-117.906099,0,0,1,0,12,1,0,2,1,1,1,1,1,1,0,0,3,19,233.55,1,1,72,3535,3,Dormant
2533,23,92806,33.83796,-117.870494,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,3,75.3,75.3,1,1,87,3244,2,At Risk
1980,23,92807,33.848733,-117.788357,0,1,0,0,4,1,2,1,0,0,2,0,2,0,0,1,2,89.2,346.2,1,1,74,5808,2,Dormant
3681,110,92823,33.924143,-117.79387,0,1,0,0,1,1,2,1,0,0,0,0,2,0,0,1,2,85.7,85.7,1,1,66,4880,4,Dormant
489,684,92860,33.925833,-117.559639,0,0,0,0,12,1,2,0,2,0,2,2,0,0,0,1,3,61.65,713.75,1,1,67,5670,4,Dormant
2389,1120,92887,33.884073,-117.732197,0,1,1,0,65,1,2,1,2,0,2,0,2,2,0,0,0,105.25,6786.4,1,1,91,4196,4,At Risk
4636,1055,93001,34.360261,-119.306383,1,0,1,0,9,0,1,0,0,2,0,0,0,0,0,1,2,29.95,248.95,1,1,83,2573,5,At Risk
